word,probability
1218,3.7952848645937244e-06
1210,4.680851332998927e-06
1209,5.313398810431214e-06
1181,2.5301899097291493e-06
1188,3.0362278916749793e-06
1190,7.0845317472416184e-06
1204,1.2271421062186376e-05
1207,3.162737387161437e-06
1199,4.301322846539554e-06
1202,5.060379819458299e-06
1211,3.4157563781343516e-06
1213,3.4157563781343516e-06
1214,5.313398810431214e-06
1216,5.566417801404129e-06
1217,5.566417801404129e-06
197426,1.265094954864575e-07
123432,1.265094954864575e-07
1040,9.235193170511395e-06
1342,3.2892468826478945e-06
1075,1.5181139458374896e-06
1231,3.668775369107267e-06
1240,6.958022251755161e-06
1268,4.174813351053096e-06
1430,5.439908305917671e-06
1441,3.4157563781343516e-06
1481,4.680851332998927e-06
1451,2.909718396188522e-06
1534,1.2777459044132204e-05
1663,8.982174179538481e-06
1769,1.8849914827482165e-05
1801,4.212766199699034e-05
31500,2.53018990972915e-07
97000,1.265094954864575e-07
2500,1.8849914827482165e-05
61,5.8573896410229814e-05
76,4.6935022825475726e-05
1672,1.0500288125375971e-05
4181,2.53018990972915e-07
4425,2.53018990972915e-07
4866,1.265094954864575e-07
5579,1.265094954864575e-07
7477,2.53018990972915e-07
10069,1.265094954864575e-07
14152,1.265094954864575e-07
31457,1.265094954864575e-07
59091,1.265094954864575e-07
87883,1.265094954864575e-07
100587,1.265094954864575e-07
94994,1.265094954864575e-07
114302,1.265094954864575e-07
122461,1.265094954864575e-07
101497,1.265094954864575e-07
20964,1.265094954864575e-07
128644,1.265094954864575e-07
203448,1.265094954864575e-07
9200,3.795284864593724e-07
109000,1.265094954864575e-07
35%,2.606095607021024e-05
1132,2.2771709187562346e-06
1399,4.174813351053096e-06
17000,5.0603798194583e-07
1885,7.805635871514426e-05
44%,1.0500288125375971e-05
27%,1.594019643129364e-05
15000,8.855664684052023e-07
20000,7.590569729187448e-07
105,3.9723981582747645e-05
755,3.668775369107267e-06
714,3.668775369107267e-06
106,2.20126522146436e-05
537,4.04830385556664e-06
661,4.554341837512469e-06
392,5.439908305917671e-06
713,2.02415192778332e-06
715,4.174813351053096e-06
733,2.656699405215607e-06
"97,8%",6.325474774322873e-07
"98,2%",3.795284864593724e-07
368,3.0362278916749793e-06
355,9.867740647943684e-06
383,5.186889314944756e-06
382,7.0845317472416184e-06
1474,5.566417801404129e-06
46,8.147211509327861e-05
304,7.464060233700991e-06
716,4.4278323420260115e-06
674,1.7711329368104046e-06
153,1.1638873584754088e-05
690,4.04830385556664e-06
446,2.02415192778332e-06
1042,1.8976424322968622e-06
1091,2.5301899097291493e-06
1460,6.958022251755161e-06
1437,3.162737387161437e-06
1439,5.439908305917671e-06
1449,2.7832089007020645e-06
7100,1.1385854593781173e-06
785,2.909718396188522e-06
125,4.060954805115285e-05
1864,7.008626049949744e-05
1374,4.933870323971842e-06
1332,2.150661423269777e-06
1098,3.5422658736208092e-06
1200,4.212766199699034e-05
2402,2.53018990972915e-07
1820,4.73145513119351e-05
51,8.944221330892543e-05
1591,1.0373778629889512e-05
3500,1.2777459044132204e-05
1866,6.312823824774228e-05
"1,65%",1.265094954864575e-07
7500,2.909718396188522e-06
"38,40%",1.265094954864575e-07
"53,76%",1.265094954864575e-07
2021,3.80793581414237e-05
325,2.1380104737211314e-05
127,1.6319724917753013e-05
127%,2.53018990972915e-07
11%,2.2645199692075888e-05
32%,1.1891892575727002e-05
70%,6.198965278836417e-05
1050,7.337550738214534e-06
1852,4.933870323971841e-05
1825,4.023001956469348e-05
1779,2.3277747169508177e-05
1741,1.0120759638916597e-05
1722,8.09660771113328e-06
1680,1.10063261073218e-05
1726,9.235193170511395e-06
1727,9.741231152457225e-06
1734,8.09660771113328e-06
1220,5.945946287863501e-06
1274,7.211041242728076e-06
1223,2.656699405215607e-06
1470,4.680851332998927e-06
1498,9.108683675024938e-06
1490,6.958022251755161e-06
1035,1.5181139458374896e-06
1078,1.7711329368104046e-06
